stock,date,gap,high
선광,2021-02-25,0.3295,30450
라온피플,2021-02-18,1.0187,29750
SGA클라우드서비스,2020-06-26,1.1824,2995
넥센타이어,2021-02-10,1.1876,8520
제이에스코퍼레이션,2021-02-25,1.6129,12600
KG케미칼,2021-02-25,1.7575,28950
OCI,2021-02-18,2.0,127500
나노스,2021-02-22,2.3448,7420
청보산업,2021-02-18,2.4735,14500
하나투어,2021-01-14,2.6786,69000
케어룸의료산업,2021-02-25,2.7356,16900
제주항공,2021-02-24,2.7837,24000
월덱스,2021-02-25,2.8037,22000
유진테크,2021-01-25,2.8221,41900
동일금속,2021-01-15,2.9046,12400
백산,2020-03-05,2.9412,7000
엔솔바이오사이언스,2021-02-10,3.1461,22950
신영증권우,2021-02-18,3.2258,57600
윌비스,2021-02-10,3.3033,1720
대한제당우,2020-06-19,3.3113,15600
제이콘텐트리,2021-01-25,3.3595,46150
넥센타이어1우B,2021-02-15,3.4247,3020
한일시멘트,2021-02-04,3.4483,120000
디와이파워,2021-02-22,3.4602,14950
화승엔터프라이즈,2020-03-03,3.5599,16000
디씨엠,2021-02-24,3.5857,13000
파크시스템스,2021-02-25,3.7037,128800
TJ미디어,2021-02-23,3.8462,4050
메가스터디교육,2021-02-19,3.94,55400
서울옥션,2021-02-25,4.0,9620
덕산네오룩스,2021-02-25,4.0189,44000
현대백화점,2021-01-25,4.0244,85300
BYC우,2021-02-24,4.0248,168000
롯데케미칼,2021-02-23,4.0881,331000
화승알앤에이,2021-02-23,4.1096,3800
한국콜마,2021-02-19,4.1739,59900
대신증권,2020-11-17,4.3165,14500
아모레G,2021-01-25,4.3277,67500
팬오션,2021-02-23,4.3706,5970
한솔케미칼,2021-02-22,4.5082,255000
에코프로,2021-02-15,4.5101,67200
듀오백,2021-02-24,4.5685,8240
파라다이스,2021-02-24,4.6512,18000
금화피에스시,2020-08-18,4.6794,30200
한국캐피탈,2020-11-27,4.7297,620
더네이쳐홀딩스,2020-08-12,4.7619,55000
오스템임플란트,2021-02-10,4.8143,76200
바텍,2020-04-29,4.943,27600
POSCO,2021-01-07,4.9734,295500
무림P&P,2021-02-24,5.0173,6070
동원개발,2021-01-06,5.0485,5410
대한제강,2021-02-04,5.1471,14300
KT,2021-02-17,5.1923,27350
경동인베스트,2020-03-03,5.205,33350
디오,2021-02-15,5.2564,41050
비즈니스온,2021-02-22,5.4496,19350
삼양패키징,2020-09-21,5.5046,23000
SK하이닉스,2021-02-25,5.6537,149500
제우스,2021-02-22,5.6799,30700
신영증권,2021-02-15,5.6985,57500
퍼시스,2020-12-11,5.7047,31500
제이엠티,2020-09-14,5.7489,3495
동일산업,2021-01-25,5.7692,82500
바이오프로테크,2020-03-11,5.802,3100
대성홀딩스,2021-02-08,5.8407,29900
S&T중공업,2021-01-21,5.8655,7400
케이씨티,2020-09-17,5.8685,9020
황금에스티,2021-02-22,5.9459,9800
신세계,2021-02-24,5.9925,283000
한세실업,2020-10-22,6.3107,21900
동국제강,2021-01-05,6.3404,9560
카카오,2021-02-16,6.3525,519000
BYC,2021-02-24,6.3599,393000
우노앤컴퍼니,2021-02-05,6.3704,7180
솔브레인,2021-02-22,6.4235,329700
다우기술,2021-01-27,6.4338,28950
BNK금융지주,2020-03-03,6.4407,6280
영풍,2021-02-24,6.4516,660000
제닉,2021-02-10,6.4909,5250
케이프이에스제4호,2020-06-22,6.5534,2195
한국토지신탁,2020-12-21,6.6667,2240
미원에스씨,2021-01-07,6.6964,119500
한섬,2021-02-24,6.7295,39650
롯데쇼핑,2021-02-23,6.7511,126500
세아베스틸,2021-02-24,6.8027,15700
국도화학,2020-12-17,6.8716,59100
와이엔텍,2021-02-18,6.8966,17050
동성코퍼레이션,2020-12-21,6.9486,5310
SK네트웍스,2021-01-20,7.0144,5950
원풍,2021-02-03,7.0391,4790
지엔원에너지,2021-02-18,7.0407,4865
삼익악기,2020-06-04,7.1207,1730
엔텔스,2021-02-17,7.1429,13500
맥쿼리인프라,2020-06-01,7.1749,11950
JB금융지주,2020-12-16,7.2041,6250
코오롱인더,2021-02-16,7.2727,59000
노루홀딩스,2021-02-22,7.3276,12450
KISCO홀딩스,2021-02-18,7.4324,15900
현대미포조선,2021-01-05,7.5926,58100
테스,2021-02-15,7.5929,33300
S-Oil,2021-02-23,7.6471,91500
금호타이어,2020-09-17,7.673,4280
에이펙스인텍,2021-02-16,7.6923,14000
CJ프레시웨이,2021-01-25,7.6923,23100
부국증권우,2020-11-23,7.6923,21000
일신방직,2021-01-18,7.7636,93000
LF,2021-02-18,7.767,16650
GS,2021-02-23,7.8205,42050
티케이케미칼,2021-02-02,7.8341,3510
극동유화,2020-12-11,7.8797,3765
IHQ,2021-02-16,7.9156,2045
희림,2021-02-01,8.0569,4560
티로보틱스,2021-02-18,8.1081,12000
환인제약,2021-02-16,8.1152,20650
NAVER,2021-02-22,8.1333,405500
뿌리깊은나무들,2021-02-24,8.1818,1190
애경유화,2021-02-22,8.2192,11850
대한제당,2020-12-23,8.2774,24200
모두투어,2021-01-14,8.2803,25500
아모레퍼시픽,2021-01-25,8.3156,254000
삼성카드,2020-12-22,8.346,35700
CJ CGV,2021-01-26,8.3929,30350
풍산,2021-02-23,8.4699,39700
디티알오토모티브,2020-03-04,8.561,29800
한화시스템,2021-02-19,8.8095,22850
현대건설기계,2020-12-11,8.8117,40750
하나머티리얼즈,2021-02-19,8.8154,39500
심텍,2021-02-16,8.8421,25850
서전기전,2021-02-25,8.8861,4350
위닉스,2021-02-19,8.9109,27500
에이치케이,2021-01-08,8.9595,1885
오하임아이엔티,2021-02-24,8.9706,3705
신라교역,2021-01-21,9.0,10900
아세아,2021-02-04,9.0611,99900
세아특수강,2020-06-03,9.0909,13200
한국ANKOR유전,2021-01-29,9.0909,1800
진로발효,2020-03-10,9.1057,33550
한독크린텍,2021-01-20,9.1525,32200
아모레G3우(전환),2020-03-05,9.1575,44700
베뉴지,2021-01-22,9.1667,1965
동원산업,2021-02-19,9.2486,283500
AK홀딩스,2021-02-24,9.28,34150
이엔코퍼레이션,2021-02-19,9.3878,1340
인포바인,2020-03-31,9.4148,21500
메이슨캐피탈,2020-05-08,9.4421,510
리노공업,2021-02-22,9.4881,175400
NEW,2021-02-05,9.5189,10700
크리스에프앤씨,2020-09-04,9.5427,27550
GS홈쇼핑,2020-10-29,9.5588,149000
노드메이슨,2021-02-19,9.6491,12500
이엠티,2021-02-25,9.7561,4500
사조동아원,2021-02-23,9.8425,1395
드림시큐리티,2020-09-17,9.8655,4900
LG상사,2020-12-23,9.8901,30000
DB금융투자,2021-01-11,9.9476,6300
유니드,2021-02-23,9.9518,68500
삼천리,2020-09-10,10.0,92400
코리아에셋투자증권,2020-08-05,10.0509,8650
코텍,2020-03-05,10.0823,10700
유비온,2021-02-24,10.1101,5500
하나금융지주,2021-01-13,10.1215,40800
참좋은여행,2021-01-14,10.1695,13000
오리온홀딩스,2020-05-15,10.1818,15150
태광산업,2021-02-09,10.1911,1038000
한국금융지주,2021-02-22,10.1947,96200
덱스터,2021-02-08,10.2071,7450
삼정펄프,2021-01-11,10.2253,31800
한국종합기술,2021-01-28,10.2597,8490
현대그린푸드,2020-05-18,10.2649,9990
강남제비스코,2020-12-16,10.2679,24700
씨큐브,2020-05-29,10.285,8900
기신정기,2020-09-09,10.2999,4230
다나와,2021-02-16,10.3198,37950
강원랜드,2020-05-27,10.3306,26700
삼양통상,2020-08-18,10.3339,69400
라이온켐텍,2021-02-05,10.4113,8590
동서,2021-02-19,10.4218,44500
아이에스동서,2021-01-22,10.4283,59300
씨앗,2021-02-18,10.4749,7910
원일특강,2020-05-08,10.5092,10200
크라운해태홀딩스,2020-09-07,10.5322,9970
DSR제강,2021-02-17,10.5566,5760
대현,2021-01-27,10.5882,2350
피에스케이홀딩스,2021-01-25,10.6024,9180
한일네트웍스,2021-02-22,10.6145,5940
KB금융,2020-11-26,10.6164,48450
이엠텍,2021-02-22,10.6583,17650
디와이,2021-01-20,10.678,6530
미원화학,2021-01-22,10.7143,68200
동남합성,2020-12-28,10.7595,52500
한국철강,2021-02-04,10.7595,8750
성창기업지주,2020-12-22,10.8051,2615
GS우,2020-06-19,10.828,34800
한국가스공사,2021-01-20,10.832,35300
한국컴퓨터,2021-02-25,10.8363,4705
유화증권,2021-01-06,10.8647,2500
SK텔레콤,2021-01-08,10.9091,274500
원익IPS,2021-01-22,10.9548,55200
KSS해운,2020-11-12,11.0599,12050
디아이,2021-02-15,11.0738,6620
올리패스,2021-02-09,11.0769,36100
SPC삼립,2020-05-07,11.0955,79100
미래에셋벤처투자,2021-01-14,11.1475,6780
한국조선해양,2021-01-06,11.1607,124500
한양증권,2021-02-08,11.167,11050
현대홈쇼핑,2020-12-16,11.195,88400
인선이엔티,2021-02-18,11.2,13900
세아홀딩스,2020-12-09,11.2314,82200
대명소노시즌,2021-02-17,11.2727,1530
영원무역홀딩스,2020-06-03,11.2745,45400
이상네트웍스,2020-11-16,11.2752,8290
데브시스터즈,2021-02-24,11.2903,69000
한신기계,2021-02-10,11.2994,1970
제로투세븐,2021-02-23,11.334,11100
유진기업,2021-01-20,11.3872,5380
피제이메탈,2020-08-04,11.3872,2690
호텔신라,2021-01-18,11.3971,90900
동양생명,2021-02-23,11.4078,4590
경창산업,2021-02-16,11.4094,3320
에스에프에이,2021-02-17,11.4252,47300
DGB금융지주,2020-11-18,11.4569,7880
현대상사,2021-01-08,11.5274,19350
대한유화,2021-02-17,11.5543,405500
사람인에이치알,2021-02-18,11.5578,33300
나스미디어,2021-02-18,11.5629,43900
부스타,2020-09-16,11.5658,6270
쌍용양회,2020-12-11,11.5789,7420
알톤스포츠,2021-02-22,11.5942,5390
원익QnC,2021-01-25,11.6915,22450
S-Oil우,2021-02-16,11.9073,53100
NH투자증권우,2020-12-28,11.919,9390
오뚜기,2020-08-12,11.9643,627000
엔씨소프트,2021-02-08,11.9658,1048000
이녹스첨단소재,2020-09-15,12.0654,53119
세우글로벌,2021-02-25,12.0838,4545
사조대림,2021-02-22,12.1302,18950
우진아이엔에스,2020-08-24,12.1483,8770
LG디스플레이,2021-02-16,12.1681,25350
에스티아이,2020-07-23,12.1693,21200
KG ETS,2021-02-23,12.1805,7460
YW,2020-07-21,12.1951,4600
우리금융지주,2020-06-04,12.2129,10750
동방아그로,2020-08-06,12.2137,7350
F&F,2021-02-18,12.2302,156000
롯데정보통신,2021-01-06,12.294,44300
YTN,2021-01-22,12.3596,5000
캐리소프트,2021-02-22,12.3613,7090
마이크로프랜드,2021-02-10,12.4183,8600
원익머트리얼즈,2021-01-05,12.4277,38900
케이씨,2021-02-05,12.4324,31200
까뮤이앤씨,2021-02-04,12.4633,3835
코오롱인더우,2021-02-02,12.5483,29150
AP시스템,2021-02-16,12.5887,31750
제일제강,2021-01-29,12.6365,3610
DL,2021-02-22,12.7168,97500
에버다임,2020-09-17,12.7198,5450
이베스트투자증권,2021-01-11,12.7219,7620
LG생활건강,2021-01-26,12.7561,1706000
케이디켐,2020-12-21,12.782,15000
삼일기업공사,2020-12-24,12.7883,5380
싸이토젠,2021-01-22,12.9326,62000
인바디,2020-03-05,12.938,20950
아나패스,2020-09-09,12.9699,30050
이즈미디어,2021-02-22,12.987,17400
에이루트,2020-11-13,13.0186,7900
넥센,2020-05-08,13.0526,5370
진양홀딩스,2020-07-10,13.1086,3020
코스메카코리아,2020-08-13,13.1387,15500
S&T홀딩스,2021-01-21,13.1429,19800
효성첨단소재,2021-02-17,13.1624,331000
루멘스,2021-01-04,13.2042,3215
코리안리,2020-04-17,13.2316,8900
한일현대시멘트,2021-02-16,13.3075,43850
이마트,2021-01-13,13.3136,191500
한국타이어앤테크놀로지,2021-02-22,13.3263,54000
티비씨,2020-12-03,13.3333,1360
피엔티,2021-01-08,13.3721,29250
