,종목명,현재가,전일비,등락률,액면가,거래량,거래대금,전일거래량,시가,고가,저가,매수호가,매도호가,매수총잔량,매도총잔량,상장주식수,시가총액,매출액,자산총계,부채총계,영업이익,당기순이익,주당순이익,보통주배당금,매출액증가율,영업이익증가율,외국인비율,PER,ROE,ROA,PBR,유보율
0,셀트리온헬스케어,"117,700","5,300",+4.72%,"1,000","983,841","114,342","373,827","114,200","117,700","113,600","117,600","117,700","3,907","46,182","155,019","182,458","16,276","37,397","18,068","3,621","2,404","1,376",20,47.85,337.37,17.06,85.54,13.36,7.30,8.97,"1,298.7"
1,에코프로비엠,"457,400","2,200",+0.48%,500,"714,615","323,893","806,904","461,100","463,400","440,000","456,300","457,400",287,"8,864","21,919","100,260","8,547","7,990","3,317",548,467,"2,862",450,N/A,N/A,15.97,159.82,N/A,N/A,20.81,"3,900.1"
2,에이치엘비,"65,800","1,200",-1.79%,500,"1,773,772","116,061","2,875,394","67,200","67,300","64,100","65,700","65,800","34,110","40,633","106,610","70,149",562,"7,065","1,490",-613,-887,-652,0,46.22,-25.82,16.20,-100.92,-24.10,-16.60,15.54,"2,683.9"
3,셀트리온제약,"153,600","3,000",+1.99%,500,"247,944","38,095","163,343","153,400","155,000","151,500","153,600","153,700","5,993","4,856","36,549","56,139","2,336","5,481","2,475",236,209,968,10,34.61,60.36,7.15,158.68,7.21,4.11,17.68,"1,577.6"
4,펄어비스,"82,400",400,+0.49%,100,"611,733","50,269","569,861","82,000","82,900","81,200","82,300","82,400","28,582","56,864","66,222","54,567","4,888","8,972","2,603","1,573","1,009",797,0,-8.80,4.44,17.60,103.39,16.45,11.43,7.53,"10,586.3"
5,카카오게임즈,"72,200",900,+1.26%,100,"599,149","43,138","568,387","72,100","73,000","70,800","72,100","72,200","43,019","39,923","74,687","53,924","4,955","13,099","2,845",665,675,"1,056",0,26.72,90.05,10.08,68.37,12.12,7.10,4.19,"12,247.5"
6,엘앤에프,"150,800","2,800",-1.82%,500,"1,009,930","152,013","1,385,252","154,100","156,700","146,500","150,700","150,800","20,599","5,574","34,579","52,145","3,561","4,662","2,686",15,-150,-904,48,13.68,119.18,20.36,-166.81,-9.39,-3.40,20.86,"1,270.1"
7,SK머티리얼즈,"421,000","2,500",+0.60%,500,"46,574","19,629","43,522","418,500","427,900","413,600","421,000","421,100",726,387,"10,548","44,406","9,550","20,386","15,339","2,339","1,520","17,272","4,000",23.67,8.93,17.32,24.37,28.50,8.32,7.10,"13,770.4"
8,알테오젠,"80,000",900,-1.11%,500,"205,843","16,312","318,971","80,500","81,400","78,600","79,700","80,000","14,157","10,672","42,264","33,811",424,"1,592",229,1,-34,-281,0,45.15,104.61,15.57,-284.70,-0.96,-2.79,19.53,816.2
9,씨젠,"63,500",200,-0.31%,500,"356,565","22,559","549,487","63,700","64,000","62,500","63,500","63,600","44,402","19,798","52,226","33,164","11,252","10,946","4,482","6,762","5,031","11,836",753,822.66,"2,915.59",13.88,5.36,125.91,77.99,3.78,"4,923.1"
10,CJ ENM,"150,400",100,-0.07%,"5,000","108,055","16,242","48,645","151,500","152,000","149,100","150,400","150,500","7,621","3,823","21,929","32,981","33,912","62,799","24,947","2,721",656,"4,631","1,600",-10.52,1.00,21.19,32.48,1.78,1.12,0.86,"3,299.5"
11,리노공업,"192,400","10,000",-4.94%,500,"78,110","15,245","37,910","202,200","202,300","192,400","192,400","192,900","2,172","1,519","15,242","29,326","2,013","3,615",242,779,554,"4,964","1,500",18.22,21.42,50.17,38.76,17.37,16.12,7.93,"4,357.2"
12,천보,"269,400","6,900",-2.50%,500,"155,235","42,169","217,824","277,500","279,000","268,900","269,400","269,500","6,925","1,138","10,000","26,940","1,555","2,607",362,301,274,"3,357",300,14.91,10.80,8.53,80.25,12.57,11.04,11.16,"4,540.8"
13,한국비엔씨,"49,750","6,150",+14.11%,100,"7,170,079","341,687","3,755,618","46,000","50,000","44,700","49,750","49,800","37,862","140,464","51,532","25,637",194,676,306,9,14,-118,0,10.02,-59.42,0.52,-421.61,4.41,2.43,81.12,678.9
14,스튜디오드래곤,"82,500",200,+0.24%,500,"76,429","6,282","83,185","82,400","82,600","81,500","82,500","82,600","10,996","6,179","30,014","24,762","5,257","7,573","1,480",491,296,"1,117",0,12.18,71.13,11.78,73.86,5.71,4.42,3.62,"3,952.4"
15,휴젤,"185,000","1,900",-1.02%,500,"34,940","6,499","46,391","186,900","188,500","183,700","185,000","185,300","3,810",500,"12,485","23,098","2,110","9,563","1,623",781,453,"4,400",N/A,3.16,14.65,76.15,42.05,5.81,4.90,2.93,"17,786.8"
16,솔브레인,"296,900","2,200",+0.75%,500,"47,538","14,055","58,985","295,300","298,900","290,000","296,800","296,900","1,332",569,"7,779","23,095","4,701","7,177","2,093","1,040",649,"17,328","1,950",N/A,N/A,27.51,17.13,N/A,N/A,4.16,"12,225.5"
17,원익IPS,"45,400","1,450",+3.30%,500,"665,193","29,913","589,847","44,100","45,600","43,250","45,400","45,450","19,963","56,999","49,084","22,284","10,909","10,996","4,366","1,406",978,"3,062",200,63.01,241.95,22.10,14.83,15.91,9.79,2.90,"2,670.1"
18,바이오니아,"84,500",0,0.00%,500,"1,007,812","86,660","727,606","87,000","89,100","83,200","84,400","84,500","17,002","14,123","25,212","21,304","2,070","1,912",432,"1,052",592,"2,840",0,470.33,"1,334.58",7.76,29.75,65.71,43.32,11.95,977.8
19,오스템임플란트,"145,200",600,+0.41%,500,"201,538","29,025","367,550","145,600","147,600","140,100","145,200","145,300","3,527","4,222","14,286","20,743","6,316","9,587","7,702",981,"1,035","9,315",630,11.78,128.66,47.23,15.59,78.80,11.79,8.70,"3,250.4"
20,에이치엘비생명과학,"21,700",250,-1.14%,500,"2,647,128","57,218","4,795,040","22,050","22,200","21,200","21,700","21,750","117,781","168,900","94,181","20,437",918,"3,272",395,-81,-558,-680,N/A,-19.49,-80.09,7.85,-31.91,-17.97,-15.25,8.02,974.4
21,에스티팜,"104,700",700,+0.67%,500,"97,696","10,173","86,418","104,000","105,400","102,700","104,600","104,700","2,618","4,202","18,656","19,533","1,241","4,456","1,488",-188,-132,-570,N/A,33.08,29.53,0.00,-183.68,-4.08,-3.35,6.59,"3,072.0"
22,에코프로,"101,200","4,900",-4.62%,500,"1,113,494","115,010","2,692,989","107,200","109,200","100,400","101,200","101,300","37,902","10,486","18,701","18,926","9,468","12,832","6,945",824,542,"25,934",304,34.82,72.29,12.88,3.90,7.87,4.90,5.34,"2,616.4"
23,제넥신,"75,300","1,300",+1.76%,500,"150,332","11,197","199,855","73,700","75,500","73,400","75,200","75,300","4,826","11,534","25,013","18,835",185,"5,969",604,-392,275,"2,090",0,N/A,N/A,5.78,36.03,N/A,N/A,2.64,"3,216.2"
24,LX세미콘,"114,800","1,000",+0.88%,500,"111,604","12,727","199,090","114,100","115,200","113,000","114,700","114,800","3,961","4,670","16,264","18,671","11,619","7,506","2,183",942,725,"10,864","1,350",34.00,99.40,33.77,10.57,14.44,10.51,2.94,"6,451.0"
