stock,date,gap,high
대신증권우,2020-12-28,0.8475,11900
코리아에셋투자증권,2020-08-05,1.7647,8650
대신증권2우B,2020-12-28,2.2523,11350
삼양통상,2020-08-18,2.5111,69400
아시아경제,2020-10-14,2.5263,2435
동남합성,2020-12-28,2.5391,52500
코리안리,2020-04-17,3.0093,8900
NH투자증권우,2020-12-28,3.5281,9390
해성산업,2020-05-08,3.6101,14350
금화피에스시,2020-08-18,3.7801,30200
승일,2020-06-08,3.8501,10250
코텍,2020-06-09,3.9216,10600
이상네트웍스,2020-11-16,4.4081,8290
한화손해보험,2020-12-07,4.4444,4700
코스맥스,2020-10-12,4.5082,127500
신세계푸드,2020-05-14,4.5093,78800
이녹스첨단소재,2020-09-15,4.565,53119
진로발효,2020-05-25,4.6926,32350
맵스리얼티1,2020-06-02,5.1033,4325
신세계인터내셔날,2020-04-28,5.2632,220000
와이지-원,2020-11-25,5.4913,7300
부국증권우,2020-11-23,5.5276,21000
에스앤씨엔진그룹,2020-03-23,5.5838,208
동방아그로,2020-08-06,5.6034,7350
에스제이그룹,2020-06-15,5.6558,24248
우리금융지주,2020-06-04,5.9113,10750
세아홀딩스,2020-12-09,6.0645,82200
GKL,2020-12-11,6.1404,18150
동성코퍼레이션,2020-12-21,6.2,5310
정상제이엘에스,2020-11-12,6.25,6800
에스티아이,2020-07-23,6.2657,21200
쌍용양회,2020-12-11,6.4562,7420
디에스티,2020-03-27,6.4865,394
아이에이네트웍스,2020-06-03,6.5502,2440
제룡산업,2020-12-17,6.5903,7440
유니켐,2020-04-29,6.6038,1695
맥쿼리인프라,2020-06-01,6.6964,11950
신한지주,2020-06-04,6.7701,37850
퍼시스,2020-12-11,6.7797,31500
케이프이에스제4호,2020-06-22,6.8127,2195
오뚜기,2020-08-12,6.9966,627000
삼성카드,2020-12-22,7.0465,35700
이에스에이,2020-03-23,7.1186,316
삼익악기,2020-06-04,7.1207,1730
우리손에프앤지,2020-06-02,7.2464,2590
코스메카코리아,2020-08-13,7.2664,15500
골프존뉴딘홀딩스,2020-11-06,7.402,7400
오리온홀딩스,2020-05-15,7.4468,15150
이니텍,2020-07-09,7.4951,5450
인포바인,2020-03-31,7.5,21500
노바렉스,2020-08-10,7.6381,45800
한국토지신탁,2020-12-21,7.6923,2240
바다로19호,2020-07-20,7.7393,2645
옵티시스,2020-09-16,7.7406,10300
씨큐브,2020-05-29,7.7482,8900
미래에셋생명,2020-09-10,7.9667,4540
신일전자,2020-05-20,8.3156,2540
인바디,2020-05-11,8.377,20700
한라IMS,2020-06-04,8.7432,7960
금호타이어,2020-09-17,8.7675,4280
동성화인텍,2020-11-25,8.7866,13000
브리지텍,2020-08-27,8.8623,4545
GS우,2020-06-19,8.9202,34800
이루온,2020-04-02,8.982,1820
용평리조트,2020-05-25,9.3439,5500
드림시큐리티,2020-09-17,9.375,4900
KT&G,2020-06-03,9.4132,89500
성창기업지주,2020-12-22,9.4142,2615
SNT에너지,2020-06-08,9.4801,17900
대성에너지,2020-09-16,9.5506,5850
한국패러랠,2020-03-25,9.7436,2140
글로벌텍스프리,2020-12-04,9.7561,3600
제일기획,2020-10-15,9.7619,23050
S&TC,2020-06-08,9.816,17900
SPC삼립,2020-05-07,9.8611,79100
정산애강,2020-07-20,10.0703,2350
한국자산신탁,2020-12-22,10.125,4405
동아엘텍,2020-10-13,10.5664,10150
동성화학,2020-06-05,10.574,18300
보해양조,2020-12-09,10.6796,1140
전방,2020-10-19,10.7095,41350
신송홀딩스,2020-12-17,10.9111,4930
일진파워,2020-09-16,10.9123,6200
영원무역홀딩스,2020-06-03,11.0024,45400
광주신세계,2020-10-08,11.0092,181500
남해화학,2020-08-10,11.0491,9950
KSS해운,2020-11-12,11.0599,12050
세아제강지주,2020-09-08,11.1588,51800
코웰패션,2020-09-15,11.236,6930
SBS콘텐츠허브,2020-06-23,11.2805,7300
기업은행,2020-06-04,11.2939,10150
매일홀딩스,2020-05-14,11.5515,9850
신세계 I&C,2020-09-14,11.7021,157500
지란지교시큐리티,2020-05-18,11.7355,6760
엔피케이,2020-12-21,11.9512,2295
에이치엔티,2020-03-23,11.9792,2150
파인테크닉스,2020-08-04,12.069,5850
화성밸브,2020-06-04,12.3153,6840
현대홈쇼핑,2020-12-16,12.3253,88400
이오테크닉스,2020-08-10,12.4017,128700
우진아이엔에스,2020-08-24,12.4359,8770
에스에스알,2020-05-18,12.4606,7130
아나패스,2020-09-09,12.5468,30050
삼천리,2020-09-10,12.6829,92400
피앤씨테크,2020-10-13,12.835,8000
고려신용정보,2020-05-18,12.8571,7110
삼성화재,2020-11-19,13.0667,212000
에스넷,2020-09-09,13.1034,8200
JTC,2020-12-03,13.1868,6180
블러썸엠앤씨,2020-04-09,13.2821,5160
넥스트사이언스,2020-04-10,13.3333,7480
무학,2020-09-17,13.4588,7840
