stock,date,gap,high
두산,2021-05-31,0.2222,90200
CJ4우(전환),2021-06-01,0.3257,92400
BYC우,2021-06-01,0.5168,194500
하이골드3호,2021-06-01,0.5764,1745
하나투어,2021-06-01,0.7559,93300
에이스침대,2020-07-01,0.8359,48250
휴비츠,2021-05-26,0.995,10150
아모레G우,2020-07-03,1.049,28900
GKL,2021-05-31,1.0499,19250
신영와코루,2021-05-31,1.1673,130000
배럴,2020-06-03,1.1858,12800
씨엠에스에듀,2021-04-14,1.1905,7650
맥쿼리인프라,2021-06-01,1.2,12650
파라다이스,2021-05-31,1.2626,20050
호텔신라,2021-05-31,1.4778,103000
CJ우,2021-06-01,1.497,67800
인바디,2021-06-01,1.5,30450
삼성엔지니어링,2021-05-20,1.5075,20200
KB금융,2021-05-11,1.528,59800
환인제약,2021-04-19,1.5873,22400
삼성증권,2021-06-01,1.5991,47650
BGF리테일,2021-06-01,1.6173,188500
부산산업,2021-02-22,1.6393,155000
금호건설,2020-11-17,1.6529,12300
DB손해보험,2021-05-14,1.7578,52100
계룡건설,2021-04-27,1.7687,37400
현대엘리베이,2021-06-01,1.7762,57300
우리금융지주,2021-05-11,1.7778,11450
태광산업,2021-05-28,1.9185,1275000
이녹스첨단소재,2021-06-01,1.9544,62600
삼성공조,2021-06-01,2.0231,17650
사조오양,2021-06-01,2.0492,12450
나이스정보통신,2021-05-17,2.0661,37050
케이사인,2021-05-27,2.1212,3370
레이언스,2021-05-12,2.1429,14300
트루윈,2021-06-01,2.1739,7050
애경산업,2021-06-01,2.1959,30250
코스메카코리아,2021-05-11,2.2792,17950
삼양옵틱스,2021-03-26,2.3697,10800
KT,2021-06-01,2.3774,34450
대성홀딩스,2021-05-18,2.432,35800
인포바인,2021-05-31,2.4775,22750
서희건설,2021-05-10,2.4943,2260
디와이,2021-01-20,2.5118,6530
CJ CGV,2021-05-31,2.5564,34100
한국ANKOR유전,2021-01-29,2.5641,1800
삼성화재,2021-05-13,2.5641,220000
GS홈쇼핑,2021-06-01,2.569,159700
CJ,2021-01-15,2.5974,118500
넥센,2021-04-26,2.6923,5340
CJ프레시웨이,2021-06-01,2.7607,33500
대성에너지,2021-05-27,2.7616,7070
제일기획,2021-06-01,2.7668,26000
기업은행,2021-05-18,2.7778,11100
CJ제일제당,2021-06-01,2.8272,491000
교보증권,2021-05-11,2.8634,9340
유진투자증권,2021-05-27,2.8807,5000
레드캡투어,2021-05-27,3.0449,32150
삼성화재우,2020-10-26,3.0488,169000
텔코웨어,2020-06-02,3.0769,13400
SBS,2021-05-26,3.0837,46800
부국증권우,2021-05-11,3.1111,23200
신세계,2021-05-31,3.1496,327500
아진엑스텍,2021-02-17,3.1902,8410
바텍,2021-05-12,3.2164,35300
대현,2021-06-01,3.2203,3045
효성오앤비,2021-05-04,3.2258,14400
